"Date","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2015-08-31,"Northeast Dallas","TX","Dallas-Fort Worth","Dallas","Dallas",0,234700,0.00946236559139785,0.0440391459074733,0.160158180919427,0.0673821523780715,0.0372557927441899,"2015-08","2015-Q3",234700,0,"2015-08"
2015-08-31,"Paradise","NV","Las Vegas","Clark","Las Vegas",1,178400,0.00734048560135517,0.0294287362954414,0.0971709717097171,0.0725360892561067,-0.0415115147893169,"2006-07","2006-Q3",293800,-0.392784206943499,"2004-01"
2015-08-31,"Upper West Side","NY","New York","New York","New York",2,1463000,0.0184476157326836,0.0520638573277722,0.135869565217391,0.0787446987845541,,"2015-08","2015-Q3",1463000,0,"2015-08"
2015-08-31,"South Los Angeles","CA","Los Angeles","Los Angeles","Los Angeles",3,347000,0.00725689404934688,0.0269310446877774,0.0799875505757859,0.0879108017371517,-0.0068793576669115,"2007-04","2007-Q2",455100,-0.237530213139969,"2005-06"
2015-08-31,"Sherman Oaks","CA","Los Angeles","Los Angeles","Los Angeles",4,519200,0.0062015503875969,0.0162458406733216,0.0394394394394394,0.0613033417683915,-0.00384647916841208,"2006-08","2006-Q3",591700,-0.122528308264323,"2005-07"
2015-08-31,"Sunrise Manor","NV","Las Vegas","Clark","Las Vegas",5,139000,0.00944081336238199,0.0281065088757396,0.0953506698187549,0.101299653243188,-0.0498134543580413,"2006-08","2006-Q3",259400,-0.464148033924441,"2003-07"
2015-08-31,"East New York","NY","New York","Kings","New York",6,343800,0.0168589174800355,0.0529862174578867,0.0787574521493568,0.0237022981549968,0.0113196975261909,"2007-11","2007-Q4",390300,-0.119139123750961,"2006-03"
2015-08-31,"Southeast Los Angeles","CA","Los Angeles","Los Angeles","Los Angeles",7,302200,0.0127345844504021,0.038844963905122,0.105340160936357,0.128110888271897,-0.00558247615063645,"2007-02","2007-Q1",409400,-0.261846604787494,"2005-06"
2015-08-31,"Spring Valley","NV","Las Vegas","Clark","Las Vegas",8,190900,0.00685654008438819,0.0285560344827586,0.088369441277081,0.077070250932431,-0.0418721024143395,"2006-03","2006-Q1",305300,-0.374713396659024,"2004-01"
2015-08-31,"Deer Valley","AZ","Phoenix","Maricopa","Phoenix",9,194900,0.00619514713474445,0.017223382045929,0.0785832872163807,0.0855320811358233,-0.0182431163140104,"2006-02","2006-Q1",258200,-0.245158791634392,"2005-04"
