Sold Price,,,,,,,List Price,,,,,,,,Compare,
RegionName,City,State,Metro,CountyName,2015-01,2015-02,RegionName,City,State,Metro,CountyName,2015-01,2015-02,,,
94109,San Francisco,CA,San Francisco,San Francisco,949950,1017250,94109,San Francisco,CA,San Francisco,San Francisco,1208000,1049000,,TRUE,-31750
94565,Pittsburg,CA,San Francisco,Contra Costa,285800,297500,94565,Pittsburg,CA,San Francisco,Contra Costa,346999,349900,,TRUE,-52400
94501,Alameda,CA,San Francisco,Alameda,679450,707800,94501,Alameda,CA,San Francisco,Alameda,675000,699000,,TRUE,8800
94110,San Francisco,CA,San Francisco,San Francisco,,1217692.308,94110,San Francisco,CA,San Francisco,San Francisco,1025000,1095000,,TRUE,122692.3077
94536,Fremont,CA,San Francisco,Alameda,648500,657250,94536,Fremont,CA,San Francisco,Alameda,625000,619000,,TRUE,38250
94544,Hayward,CA,San Francisco,Alameda,400075,395500,94544,Hayward,CA,San Francisco,Alameda,400000,450000,,TRUE,-54500
94509,Antioch,CA,San Francisco,Contra Costa,265025,260250,94509,Antioch,CA,San Francisco,Contra Costa,269000,269900,,TRUE,-9650
94538,Fremont,CA,San Francisco,Alameda,603750,524250,94538,Fremont,CA,San Francisco,Alameda,619950,619950,,TRUE,-95700
95123,San Jose,CA,San Jose,Santa Clara,576000,521900,95123,San Jose,CA,San Jose,Santa Clara,672880,688888,,TRUE,-166988
94541,Hayward,CA,San Francisco,Alameda,401800,376400,94541,Hayward,CA,San Francisco,Alameda,455700,474950,,TRUE,-98550
94587,Union City,CA,San Francisco,Alameda,543000,584500,94587,Union City,CA,San Francisco,Alameda,618888,605000,,TRUE,-20500
95014,Cupertino,CA,San Jose,Santa Clara,,1556153.846,95014,Cupertino,CA,San Jose,Santa Clara,1320000,1399000,,TRUE,157153.8462
94080,South San Francisco,CA,San Francisco,San Mateo,642800,687750,94080,South San Francisco,CA,San Francisco,San Mateo,649000,645000,,TRUE,42750
95051,Santa Clara,CA,San Jose,Santa Clara,824450,767000,95051,Santa Clara,CA,San Jose,Santa Clara,848000,799000,,TRUE,-32000
95125,San Jose,CA,San Jose,Santa Clara,833750,879750,95125,San Jose,CA,San Jose,Santa Clara,899888,925000,,TRUE,-45250
